Model name| time | MSE  | lambda | learning rate | layers | number of neurons | batch-size | epochs   | 
------------------------------------------------------------------------------------------- 
Sigmoid   |  2.6 | 0.016|  0.0001  |     0.0005     |   1    |        5         |   3000   | 
Sigmoid   |  3.1 | 0.015|  0.0001  |     0.0005     |   1    |        10         |   3000   | 
Sigmoid   |  14.2 | 0.015|  0.0001  |     0.0005     |   1    |        20         |   3000   | 
Sigmoid   |  11.5 | 0.015|  0.0001  |     0.0005     |   2    |        5         |   3000   | 
Sigmoid   |  15.5 | 0.016|  0.0001  |     0.0005     |   2    |        10         |   3000   | 
Sigmoid   |  42.8 | 0.015|  0.0001  |     0.0005     |   2    |        20         |   3000   | 
Sigmoid   |  7.9 | 0.016|  0.0001  |     0.0005     |   3    |        5         |   3000   | 
Sigmoid   |  8.0 | 0.016|  0.0001  |     0.0005     |   3    |        10         |   3000   | 
Sigmoid   |  30.1 | 0.014|  0.0001  |     0.0005     |   3    |        20         |   3000   | 
Tanh      | 1.7 | 0.015|  0.0001  |     0.0005     |   1    |        5         |   3000   | 
Tanh      | 1.1 | 0.014|  0.0001  |     0.0005     |   1    |        10         |   3000   | 
Tanh      | 3.9 | 0.014|  0.0001  |     0.0005     |   1    |        20         |   3000   | 
Tanh      | 0.5 | 0.015|  0.0001  |     0.0005     |   2    |        5         |   3000   | 
Tanh      | 0.8 | 0.014|  0.0001  |     0.0005     |   2    |        10         |   3000   | 
Tanh      | 2.5 | 0.014|  0.0001  |     0.0005     |   2    |        20         |   3000   | 
Tanh      | 0.8 | 0.015|  0.0001  |     0.0005     |   3    |        5         |   3000   | 
Tanh      | 0.9 | 0.013|  0.0001  |     0.0005     |   3    |        10         |   3000   | 
Tanh      | 2.2 | 0.014|  0.0001  |     0.0005     |   3    |        20         |   3000   | 
Relu      | 5.5 | 0.028|  0.0005  |     0.0001     |   1    |        5         |   3000   | 
Relu      | 7.5 | 0.028|  0.0005  |     0.0001     |   1    |        10         |   3000   | 
Relu      | 11.1 | 0.016|  0.0005  |     0.0001     |   1    |        20         |   3000   | 
Relu      | 7.4 | 0.032|  0.0005  |     0.0001     |   2    |        5         |   3000   | 
Relu      | 5.1 | 0.016|  0.0005  |     0.0001     |   2    |        10         |   3000   | 
Relu      | 2.4 | 0.014|  0.0005  |     0.0001     |   2    |        20         |   3000   | 
Relu      | 20.3 | 0.032|  0.0005  |     0.0001     |   3    |        5         |   3000   | 
Relu      | 2.9 | 0.014|  0.0005  |     0.0001     |   3    |        10         |   3000   | 
Relu      | 3.3 | 0.014|  0.0005  |     0.0001     |   3    |        20         |   3000   | 
